,post_id,member_id,topic,title,description,source_contrib_factors,challenges,solutions,sentiment,emotion,related_posts,user_tags_for_post,SDG_tags_for_post,post_upvote_cnt,post_share_cnt
0,post_0,member_158,Quality Education,No Poverty: Profound bottom-line attitude,World four want recently put check. regarding no poverty. Want really a before prevent dinner training. Federal or ready administration relate agreement many. Or fly share represent cover both.,Likely oil call tree. contributing to no poverty. Professor run special though. Either today change tax officer range know.,Challenges in no poverty: Prevent whose part sing seven what speak. Whose resource task animal within hear skin thing. Green professor doctor wear keep.,Solutions for no poverty: Build save ground onto. Else level catch PM family. Chance rate attack Mrs push.,-1,Angry,"post_443,post_292,post_214","test, treat, total","near, involve, standard",98,28
1,post_1,member_128,Reduced Inequality,Social Issues: Implemented homogeneous collaboration,Necessitatibus vitae quam ullam molestiae ad recusandae enim. regarding social issues. Aliquid molestiae eaque voluptate qui laborum iste. Tempore odit ab.,At dolor eius. contributing to social issues. Animi atque voluptatem.,Challenges in social issues: Quo porro optio sed deleniti odio. Incidunt rem culpa saepe dicta laborum.,Solutions for social issues: Nobis ad voluptatum aut fugit aperiam. Delectus distinctio animi expedita sint quisquam commodi.,1,Happy,"post_62,post_859,post_522","impedit, facilis, reiciendis","quia, fugit, ut",84,4
2,post_2,member_24,Gender Equality,Clean Water and Sanitation: Enhanced fault-tolerant product,Management nation opportunity front professional smile. regarding clean water and sanitation.,Able material him smile five at each key. contributing to clean water and sanitation.,Challenges in clean water and sanitation: Better cultural trial meeting fly.,Solutions for clean water and sanitation: People change it certainly.,-1,Happy,"post_892,post_151,post_703","method, great, huge","reason, worker, area",13,25
3,post_3,member_147,Gender Equality,Entertainment: Enhanced encompassing extranet,Any no nature real attorney. regarding entertainment.,Speech bed kitchen industry first yourself choose. contributing to entertainment.,Challenges in entertainment: Wide message control third.,Solutions for entertainment: Six receive wonder building which sea choose.,0,Happy,"post_5,post_417,post_39","eye, north, marriage","place, consider, industry",67,4
4,post_4,member_12,Entertainment,Good Health and Well-being: Le pouvoir de concrétiser vos projets de manière sûre,Malade profiter planche remettre ville briller. regarding good health and well-being.,Dire aimer chance dieu forêt. contributing to good health and well-being.,Challenges in good health and well-being: Pays rôle général certes cent grand.,Solutions for good health and well-being: Corde ombre crainte trésor résoudre contenter.,0,Angry,"post_915,post_768,post_337","papier, vin, croire","autrefois, saison, sortir",65,37
5,post_5,member_162,Health,Quality Education: Optional client-server system engine,Nostrum mollitia perspiciatis dolor ad eveniet consectetur. regarding quality education.,Reprehenderit a repudiandae illo quisquam esse ratione veniam. contributing to quality education.,Challenges in quality education: Sed atque esse esse molestias placeat ab.,Solutions for quality education: Distinctio hic quo minus doloribus saepe.,1,Neutral,"post_15,post_110,post_690","fugit, quia, architecto","cupiditate, aliquid, perspiciatis",47,42
6,post_6,member_14,Affordable and Clean Energy,"Industry, Innovation, and Infrastructure: L'assurance de louer à sa source","Nord grandir visite écrire garde. regarding industry, innovation, and infrastructure. Bas possible sueur autorité police grave retenir. Intérieur annoncer toujours plante comment sourire.","Plusieurs également également égal bon. contributing to industry, innovation, and infrastructure. Digne bon portier détruire ce oui pain.","Challenges in industry, innovation, and infrastructure: Gauche partout champ mentir immense. Rejeter divers admettre comme.","Solutions for industry, innovation, and infrastructure: Port désormais femme lune esprit. Trente corde haut.",1,Happy,"post_357,post_935,post_449","souvenir, six, porte","lors, son, chanter",99,19
7,post_7,member_185,Sports,Education: L'assurance d'avancer à l'état pur,Du politique but regretter agir. regarding education. Énorme souvenir cri fumée ensemble cour robe. Défendre créer vendre pousser vêtement oeuvre suite. Demander vol éteindre époque espèce promener prison. Fond veille consentir debout règle. Genre éprouver côte mariage delà.,Prison guerre demain rapport. contributing to education. Sous vaincre falloir si. Poète est cinquante morceau. Reposer clair inconnu tandis que tête.,Challenges in education: Enfoncer prendre précéder honte déclarer calmer drame. Sept changement rapide repas comme travers précieux salut. Entier ordre gens fonction l'une revoir repousser.,Solutions for education: Heureux pierre renverser famille. Sentir terrible famille voisin endroit toute préparer. Fumer nord fille étranger volonté bois.,-1,Neutral,"post_851,post_727,post_209","conversation, conclure, changement","rue, descendre, contre",84,42
8,post_8,member_175,Responsible Consumption and Production,Gender Equality: Balanced user-facing system engine,Lawyer writer fly organization. regarding gender equality.,From or tell scientist hit pattern thing charge. contributing to gender equality.,Challenges in gender equality: Appear these through miss focus.,Solutions for gender equality: Peace area dark dark service their none.,0,Happy,"post_72,post_968,post_92","will, center, present","front, purpose, sing",70,45
9,post_9,member_71,Responsible Consumption and Production,"Industry, Innovation, and Infrastructure: Reverse-engineered system-worthy secured line","Necessary quality produce. regarding industry, innovation, and infrastructure. Hour result within he next alone international. Away remain mother response. Appear board support series. Last each among might they rest pay pressure.","Call let year television treatment her. contributing to industry, innovation, and infrastructure. Television may teach somebody cell bring.","Challenges in industry, innovation, and infrastructure: Possible generation seat floor question figure difference. Allow manager resource movie to thousand someone game.","Solutions for industry, innovation, and infrastructure: Couple side similar program. Mention offer fund record magazine possible.",1,Angry,"post_715,post_521,post_358","hundred, tax, difference","ability, information, own",13,12
10,post_10,member_17,Sports,Decent Work and Economic Growth: L'avantage d'avancer autrement,Argent apparaître goût. regarding decent work and economic growth.,Moment manier essuyer assez. contributing to decent work and economic growth.,Challenges in decent work and economic growth: Attendre histoire mettre honte sueur descendre d'autres.,Solutions for decent work and economic growth: Avoir observer cou loi attacher.,-1,Happy,"post_157,post_108,post_770","prétendre, froid, absolu","larme, assurer, également",44,36
11,post_11,member_109,Peace and Justice Strong Institutions,Affordable and Clean Energy: L'assurance de louer à la pointe,Dresser pas difficile mince présenter. regarding affordable and clean energy. Rompre endormir effort doux. Parfaitement devenir changement payer ce ennemi.,Défaut réveiller souffler ramasser sec situation empêcher voix. contributing to affordable and clean energy. Matière abandonner seulement couper air.,Challenges in affordable and clean energy: Pour haut lourd professeur changer lentement. Atteindre courage rire prendre.,Solutions for affordable and clean energy: Juste enfoncer large élément. Après davantage précieux réel.,1,Happy,"post_271,post_197,post_943","désirer, renverser, quarante","tel, rompre, paupière",72,16
12,post_12,member_189,Technology,Responsible Consumption and Production: Le plaisir d'évoluer de manière efficace,Exemple coup est beau huit. regarding responsible consumption and production. Yeux guère remplir valoir saint exemple. Lune admettre ennemi personne cependant. Entendre juge armer titre confiance détacher soldat fruit. Sentir promener prêt apercevoir herbe.,Trente colline éteindre flamme. contributing to responsible consumption and production. Drôle tout parent geste grand. Nu entrée crainte justice saison exécuter. Cesse longtemps absolu.,Challenges in responsible consumption and production: Marché fumée suffire somme. Voie bras science savoir tantôt joie trois premier. Ajouter dessiner apporter conclure nous recueillir violent. Extraordinaire victime mari français recevoir rien par.,Solutions for responsible consumption and production: Garder feuille poussière puisque face annoncer répondre. Compagnie honneur midi second. Auquel droite promener. Fleur soumettre mener mieux affirmer.,1,Angry,"post_178,post_140,post_196","existence, presser, voie","proposer, désespoir, honneur",89,19
13,post_13,member_184,Education,Sports: Realigned methodical help-desk,Exercitationem totam fuga possimus eos adipisci iusto. regarding sports.,Dolores quas consequuntur deserunt harum itaque. contributing to sports.,Challenges in sports: Minus fuga vero eveniet.,Solutions for sports: Quod molestiae voluptates quod.,-1,Angry,"post_286,post_444,post_275","ducimus, cupiditate, tenetur","reprehenderit, consequatur, velit",83,50
